Id,saleprice
996,204288.4476750922
227,129637.33436338644
135,174201.13155469543
1167,159678.42667700438
294,219841.91617695565
1776,209427.62257906303
540,183154.36033450917
1717,241714.8430026265
2303,136099.1451231611
116,203787.668013016
127,141780.85140287277
1371,126186.13694182558
1014,164091.27988547515
1507,103269.88341348089
702,139331.61946030895
750,144184.95597703918
261,148212.73978827966
1559,67030.59193232944
577,229003.85288913938
2812,193513.7124926261
2080,148494.943951052
1368,112113.78636164672
2376,119139.32858160161
659,123846.08328160204
1235,129142.80963754769
332,63140.96131184013
1917,143579.92870637932
2094,249992.65417265656
1460,267377.02741522895
1471,221901.54161599456
1509,101321.64538223977
1922,106733.80501186337
433,435562.199659348
460,290236.50411145424
1116,242845.62934416192
1137,169796.1923999159
53,169333.15702060497
2354,261340.68063979712
1475,194921.12573576384
1761,437610.8119390113
842,140749.07106729574
2739,154387.6759169946
2509,161333.24450824634
1007,204851.22081731373
2610,181942.58166342374
1952,98517.90106820744
2719,139638.1285751818
2921,66509.48447464564
1966,138457.99670475294
292,128757.20454534714
1204,196474.48414699422
1829,278004.710403795
2419,187346.67304501837
391,174897.79468524878
798,117982.49207722238
481,206342.1256594711
193,183370.21019471384
555,127565.51003333941
899,47826.090502974155
2357,198875.21789337904
328,136638.0419981826
1356,116297.14021204527
1154,100584.7362303824
1730,187179.90698255075
2249,183417.2429989844
1119,289263.2355703492
2856,134620.36973249805
1394,113684.1707718764
2587,118394.3003745868
61,325734.666131345
2661,167112.23349593053
2711,111502.86453201395
1147,182384.1841341388
757,120819.07811333593
2623,85796.47140151227
2378,123406.33635809406
1413,142007.43294925443
1722,240640.79588811615
1112,241470.34508114337
1623,185197.4696186916
1201,213097.57884701088
1513,109038.0953620345
957,315361.9150497801
1171,255126.97875896108
1145,195495.6109384923
2726,237413.07992508978
703,148361.77789540176
760,133610.44934055867
1964,144603.59340091524
2512,193768.16027363914
159,121113.40662322872
1281,180122.56416231053
468,196117.23793478915
290,140449.95390763378
665,117628.89856840638
1463,252319.7356968213
1792,229800.78195911774
923,132291.477411098
500,295786.6468017464
1408,160755.47876625747
331,82803.44043705618
170,162188.8144239133
2192,84139.54693009249
2571,244591.90152784972
2314,159606.24462601892
2647,95460.03668100826
422,396921.284264995
2457,319679.1728572329
1838,191462.0291443434
2805,238408.37627978338
1645,171888.86489820096
1711,324586.23141093925
2825,220444.61694790097
322,325605.8763661786
2103,253664.16821609123
342,100728.74904106634
600,132834.06019824732
488,174059.0188490002
1725,300103.35780285054
2246,263331.19982281094
2847,133005.15024201688
806,223904.18173314485
530,240987.67246197574
963,205259.70214425103
2678,98747.5166576546
171,89675.33877439222
2401,401164.55116550217
805,222985.70983433136
2259,298515.15001144574
1748,199517.93486927354
1361,124736.44273418051
1677,95291.411097295
1406,169913.83743937558
2322,220548.729431598
688,149428.9086264463
143,128872.63490491788
804,214300.23961394836
1214,158250.35642110612
2828,129010.92786013028
1999,185383.2933509451
2467,205226.91090731966
2665,184312.7520462901
1538,339562.56398470583
398,114015.67965133808
2822,134350.62698790667
2157,156957.5301585184
1856,212596.28379424423
1269,103143.76523117581
2570,100932.06404177696
2320,235785.01708654797
1517,120088.19592379837
2304,126126.04174628921
1312,95199.91799674269
2012,128874.63453419304
506,248736.68456955656
2865,205626.04451251577
2367,86404.74552479225
554,92191.04360771885
238,138615.70301391726
1954,99869.95255461124
2488,124740.89193666057
2291,60263.99618822415
1969,93390.7271986837
2725,162099.1709355285
1482,160200.3167338728
2763,215345.31132832106
503,268980.7505739836
1584,265334.56437968276
1531,142748.10703477365
2210,158209.17353527335
459,314617.8026370761
556,115301.93115626926
1347,132168.298256819
1290,69053.05891251742
1388,87268.1984383166
1571,261340.5816718933
2754,214434.36806920893
765,133048.89387399273
2494,115571.85557395841
2870,225929.27980781934
7,248026.2928182652
1114,243609.1344465298
2418,266281.2450711622
291,136021.67127442057
18,338617.8360982409
39,368748.5244036969
1001,292248.36264636595
2442,234008.14893336222
616,123325.0764261825
2680,60968.016912006526
1414,131406.64688581444
289,148123.917383941
40,265693.44876596995
860,144894.1356367733
409,103536.0935852361
673,152670.48726464232
2427,176034.87884103548
2036,213394.76373637962
2564,132100.98959889894
642,155306.54172671586
1008,188151.80356881383
1908,131816.19097170333
2519,199691.73594909112
1369,102312.65192184038
2855,165598.8843398205
712,107098.18296046887
1943,125301.22969811416
1958,119844.17983276598
107,186458.66397715601
2295,215453.02205429692
704,103907.47152965235
676,138494.88850611652
259,173168.4358011667
93,284723.6058018111
106,246157.97859269776
2315,177978.1360839496
1050,92420.90750765505
1095,222606.09731180436
2709,153270.59148082932
758,134239.70539422397
1496,165390.0461774635
2370,105356.2825458842
2458,283575.89840593113
2733,127891.5359256435
161,245307.6809484281
726,149084.60460651448
845,221944.15239543098
947,240362.9023845697
2232,115515.2106584542
2563,139627.37245143196
2299,132536.82684778763
211,99333.15339694117
605,154554.98095413897
1478,208660.83129968995
2247,262728.9746397734
2274,254232.73711574601
2869,218758.47127077894
967,225255.94187756482
2656,115915.6400089785
667,190939.83804144122
1042,96507.52528679682
2023,153587.6110145414
2447,372801.8482322734
2055,130385.03719311068
2275,283475.4129498828
2204,183254.3009235876
1563,258655.46146535256
483,239032.00743205374
796,128145.4765416937
1526,151532.68523580098
2042,137524.64103286157
442,346521.4111604241
1693,330666.84971001314
1468,221776.3178031642
1430,236758.5233765653
2605,149773.1685475511
1529,205966.55755508377
335,145023.69182613702
1287,122483.05493613149
31,85254.04554593973
1785,314511.5302257503
82,182009.12206195848
2620,130592.01471639388
252,180180.76421681957
721,73342.46742091648
2165,190132.8114591381
2316,190074.92753598298
775,134086.64694071718
1558,83739.09915892185
17,212249.1298282551
1022,228921.87135373923
925,135868.62038563075
438,301266.0201613725
1270,123149.68699227391
1272,100730.59388776292
215,147904.61848499175
266,236326.39914526866
2402,314516.6984008788
1250,138076.89519840557
1984,133020.52835978786
1279,138774.2597990853
377,244726.66676878775
1252,123031.24620222373
2156,250113.3727765824
499,335007.81306024175
1374,112965.98502759234
2898,223112.31123906685
401,102027.3979260819
2721,162959.8536491524
2078,271475.0874602943
2589,128693.18419024591
1946,224129.8834224974
1334,122055.85974036269
2781,214748.9680779473
431,374414.5925456154
576,205833.90171131655
1474,210278.1620514697
2254,133073.0059339514
2155,275088.8582103129
885,107099.03467202501
643,143357.66778483917
1944,109856.87117828176
480,208931.70933746087
2845,107825.5051036895
2387,325497.55159388296
2407,222416.6954762036
2527,180417.99742164172
2514,153803.6789869718
629,151041.03179668813
80,220113.2706732704
1876,115525.76545449567
1546,113146.75235807933
2518,202099.09158254354
2347,171556.1616483608
783,247921.25137445098
1322,28646.588348708552
194,103229.10055658764
1770,300981.17508766113
2143,155566.27470291598
1229,228955.23888761236
511,278603.5713019223
46,241387.8484042753
1348,163969.10980490432
2465,204154.99370507337
387,234478.38753529883
873,235678.5018754403
1918,107556.31369368167
2764,240552.0868289235
2184,124946.72510721302
934,153799.0281549727
1920,115246.07271009315
2631,132776.34208419806
1768,477867.22213996993
2040,122197.95500775997
1749,230880.484867934
834,248811.49898980118
1457,226398.4765795599
79,114274.77095007451
2302,135912.01667342905
1817,167475.52717390322
2755,229793.0404567487
359,183674.04901594608
2059,98395.69998037386
2092,247226.32334207784
2516,234844.15608691477
150,102853.5263839211
1656,142729.21324722806
83,108912.00459750145
2411,190653.66811959574
795,65196.14050256726
2312,221354.19531121742
2917,117934.52239675164
1624,185947.5062451225
2215,261963.59452642215
1211,145679.86757842833
1485,172315.32493476142
1024,205497.1101730498
570,194430.92156736666
2874,143306.72207111772
700,135329.96998666888
2756,206721.0166958889
2022,170771.30504836133
583,224546.43945222296
2392,358862.0615168107
2424,182856.20765441738
212,88400.31241837308
736,129510.78371847955
1610,179260.7823819094
890,122596.99529842334
467,179987.58313987273
578,243381.336168412
1747,195974.52565537955
1149,151440.19601907104
2758,230701.03358654896
857,150784.3292189826
2219,274912.3113980018
733,94266.86234811062
2909,107292.96018481477
1798,269439.6175040491
235,102725.32639586893
2366,116280.26476750638
1027,134201.38528164368
1195,149227.38168299542
1303,42207.328033337544
148,188445.55118069926
608,153104.55006834905
2515,215170.41715970385
821,283568.1853802673
2500,281425.88448526757
745,96523.99516693802
741,127416.22671741726
1611,122923.03411197559
2532,107565.5012393878
1081,231949.62156271382
1692,401108.2332608841
2520,199709.50602151977
276,110487.31904094976
1992,141219.30419804025
663,55336.82181376792
418,97662.73421016237
1733,207466.6524104645
2359,149162.2300865647
253,184711.68990320683
1518,178067.48762219405
2035,156038.56532157963
2919,68449.1488145164
1540,248485.31159173895
2120,138960.86591113685
1674,155678.8904381731
256,167543.7478044909
2361,81584.67546600124
978,68628.25664915371
2280,143618.86265786103
2095,245772.33282649048
1709,341514.3006501668
2801,242347.59266513571
1246,114880.2977297166
2373,85660.81469260027
1055,297228.0568316274
2017,133006.21249253905
1099,317726.8444680786
1344,78239.74974161919
835,233079.68573810678
1117,220927.9614558344
2043,99502.6131743116
2085,98224.7294673108
410,127373.2734486324
2650,120726.85700116637
2867,171883.52067411772
1668,97973.99333638934
1161,166852.62398252657
2122,182013.11507910313
2539,127410.76670099949
1047,125040.34362715796
1445,159739.72824223439
541,143819.2393000052
569,207659.08440427773
1276,112201.3859705884
918,166528.4619437292
326,165305.13253002788
1936,129706.57513733051
895,82375.00242477264
257,142278.9131482049
1241,167638.59442920136
1545,126227.28048431248
1189,187681.9151451972
270,153447.78304971996
2066,183113.56878429427
693,103018.78320124805
1259,154286.4167893497
2916,169928.14881016238
2321,287459.4333677546
1977,97626.23480461308
1895,134623.86741494923
1240,183539.57628615067
85,153174.14477547162
1823,109988.20038958796
825,275637.7709900566
110,234189.55794544826
697,135962.64631652372
2297,123413.73567096601
1231,131369.8718373998
1355,122953.6520395494
968,339977.3030503106
584,227558.68211627958
1315,141880.76941144778
1606,152846.32708144776
206,103504.77706468504
1685,364833.11594174814
2016,125413.56557452725
869,202175.70584462205
2135,131041.9689464446
2346,185542.94392495143
2430,224406.13913903132
2198,89801.95045952265
2652,137356.65617308294
27,108651.76770235162
241,154212.22964744119
906,104574.80050817842
1506,122979.68262975346
2098,328644.66261141136
1435,220679.4787625135
2213,145350.49736508785
1274,131989.41865229065
743,28780.490210761316
1737,202342.50996306638
2797,273001.9558647295
2185,50026.82169031378
58,168971.0416133601
830,211099.1253299759
808,123586.95031971228
680,142251.7535702152
1153,103486.69462743087
1291,148096.51039291153
1818,167098.6704297764
2161,185064.8939878993
1883,114592.17888331886
350,327838.10733891453
2473,153925.92019570453
295,171679.45787631857
293,208058.99917192967
859,155451.51905775012
288,68096.57842375236
1578,166906.05751535337
102,202233.70750040433
2831,140946.29186574864
1030,164067.6416167059
2551,138206.90968392335
1286,147350.38223525
958,310802.349352791
776,132142.7868887337
72,241347.86436764587
2263,261604.5609154491
1866,162596.0482246949
2876,64490.00649204585
2146,237910.8718025239
103,191662.24917163092
1500,120883.45286493273
492,176226.5555443095
167,126647.45939737634
2597,106644.16116138856
2685,100863.42327536145
1035,162722.62508415288
1220,63550.993728418136
2602,154484.87734491445
2159,215908.56257584505
695,149606.01083842508
1109,270360.143134505
640,167161.89595123482
1652,155161.29299603353
2090,182409.66876300838
1188,195836.7985761528
2345,230610.56935712774
1059,384125.4258537821
2751,208456.56814133283
128,197640.5421782462
1523,192866.67639561617
2925,165559.30642072912
2145,262846.8052459628
1121,217668.7451458504
566,262578.401916355
565,252181.14216484985
1331,130293.92312490978
2928,126244.5565471517
156,126949.18482339088
797,141045.85722257843
327,65912.65246663854
2859,145566.9250778401
1453,133302.40069425182
1762,338515.01356353704
1868,226989.0959240711
1760,172858.42858517685
1113,242608.76665661146
1812,187067.98434185478
117,156769.1823912302
1142,209006.74342492537
2342,389721.9121713502
927,156175.73290506433
2478,174891.64866036366
655,69389.5152033351
2064,132642.3511593321
369,283338.3438622355
2239,117192.65792780754
2732,244939.7526183282
1653,166748.15639554732
959,214181.89381723962
2395,344426.4168621199
1412,102484.55103283259
271,258862.63089377846
1484,163837.83302427403
1497,141490.91733062878
552,151521.34048250536
2,118232.92889239793
1855,303574.4522587217
4,249998.5191749002
2292,157379.30481295113
134,131707.45789836318
646,101178.22710247239
42,325869.5650851177
532,227377.4550082402
713,74935.18561406761
2561,124651.79645572163
2360,129090.47507160815
1333,115760.34665136272
1407,245043.63982156414
2892,308137.03669482935
574,220342.71664030972
1227,193566.62502193172
2591,229818.95486908697
1476,217204.75852787256
1125,277030.1858538305
1446,148954.29148517686
408,105412.51760941758
1101,307243.21165485866
2251,192945.4029441226
373,188042.8073304996
2554,132510.4263479297
2382,291967.18919033837
1985,83307.69710825365
519,233244.969099162
1093,193432.02675790255
864,251234.33471393725
2889,144154.32466778476
2308,174663.21205155127
986,162645.58733470176
1302,137252.54100858324
585,158783.42578987402
2708,137883.57626408775
147,111755.33990063755
1441,220454.1947608437
383,202982.65809136909
285,161534.62725622897
181,101799.42057655417
358,189781.29344507
780,198115.32460875832
258,181766.08572425664
1865,222979.47816747313
692,114955.93843995605
2902,314194.88406917965
508,252808.57733873266
2638,138895.21492560243
36,120949.52411617499
611,157075.69618967824
2281,152269.13874484668
1678,115110.92539179225
1696,407720.83078706043
1557,80092.80241740827
2180,139921.2974338641
1726,239816.50597462239
951,155458.6809606643
267,226745.20917053064
2706,120605.67586950498
2221,242308.98325247742
1357,156291.74947078153
2901,292607.64749336964
347,173305.2069695135
2164,209166.89486146782
1586,312712.1943065169
360,164596.94874392397
1769,259796.5662348375
2617,183859.6522367923
1879,118943.40368931944
991,208150.9573600641
1535,118374.07804319586
1191,145777.18018571282
1579,221933.35868185922
1882,139321.9417231399
1510,128060.0502118344
2196,185745.14419729236
1845,177839.4534934951
2336,377926.7089941789
942,90464.23524773096
861,135138.91244107753
2555,118462.51369757902
1392,148193.65121318825
2099,255634.57300396243
1543,118465.4272667155
948,268652.72011594917
1239,180562.1906485702
22,203653.18054046907
2796,230126.69825139426
2747,184942.29820942922
92,302266.6767798739
210,178141.10218596208
1858,210372.44429398197
2228,166015.69601876242
447,247841.54902062876
827,233256.66745557613
1649,236597.21934763933
682,128483.24293558567
2698,110252.90243799309
494,171537.45120324742
214,89029.75010264109
2441,234613.9249408672
2679,117457.43884476161
1336,112547.08602364412
465,196105.71543027833
1524,160650.4072997516
2543,114803.09227890763
631,137934.5224274678
2452,332686.84898276895
228,171231.57601015223
126,158423.86356589658
1092,240823.29115881617
1122,210230.62855981122
932,221492.01733910802
1980,81539.56246412081
2171,113511.70680302664
551,161874.82541315525
2768,190414.4781545935
2056,95878.32322247495
1159,365194.2138679606
2645,123587.82925829514
1174,185927.07344281193
2266,236551.3105035943
2462,319595.0287506723
1219,135338.75025488163
2922,178708.93654238206
118,144946.32578770595
474,163338.31184045348
2576,139239.76845596207
872,276604.1594410093
1077,239436.8025023421
1536,159253.85002386148
1150,127328.85658475981
2341,329572.31505490246
1931,152862.93738490515
2785,147939.44361984648
2538,115793.40590257209
597,211411.22308560496
464,208776.99961207944
233,264040.22363373573
2169,131839.6525483832
2123,174310.2335437136
1867,178868.10736399406
137,238883.91577151325
515,228678.5740691825
933,110718.38486273141
2784,170518.40588191937
972,160025.03208561192
599,178754.16994970888
2614,132828.3978742667
2582,125348.8613419089
1409,184391.07063470263
175,105270.89037245623
352,257458.06584350884
976,99037.04442778675
2134,194140.6393680704
984,120461.07963084575
2396,350918.3127913977
1673,111584.76432809136
404,107928.58739335122
607,171545.32417210765
814,180427.13152737194
868,194906.99178149493
2271,205815.30015263523
1633,259832.0294980075
337,168974.86389033575
2765,201868.81123968822
1746,241015.97627141039
368,330887.275481862
2806,205459.02679201678
1662,189537.98054990306
1234,206457.02787516874
1373,127815.99888069699
1672,100644.07052375186
1939,113780.40226812178
